,Mkt-RF,SMB,HML,RF
200501,   -2.76,   -1.72,    2.06,    0.16
200502,    1.89,   -0.57,    1.53,    0.16
200503,   -1.97,   -1.40,    2.04,    0.21
200504,   -2.61,   -3.93,    0.06,    0.21
200505,    3.65,    2.89,   -0.64,    0.24
200506,    0.57,    2.59,    2.82,    0.23
200507,    3.92,    2.90,   -0.78,    0.24
200508,   -1.22,   -0.98,    1.32,    0.30
200509,    0.49,   -0.66,    0.72,    0.29
200510,   -2.02,   -1.25,    0.43,    0.27
200511,    3.61,    1.00,   -1.18,    0.31
200512,   -0.25,   -0.42,    0.20,    0.32
200601,    3.04,    5.39,    1.08,    0.35
200602,   -0.30,   -0.38,   -0.35,    0.34
200603,    1.46,    3.45,    0.59,    0.37
200604,    0.73,   -1.42,    2.34,    0.36
200605,   -3.57,   -2.96,    2.42,    0.43
200606,   -0.35,   -0.39,    0.85,    0.40
200607,   -0.78,   -3.98,    2.62,    0.40
200608,    2.03,    1.03,   -2.06,    0.42
200609,    1.84,   -1.36,    0.08,    0.41
200610,    3.23,    1.75,   -0.30,    0.41
200611,    1.71,    0.70,    0.14,    0.42
200612,    0.87,   -1.15,    2.73,    0.40
200701,    1.40,    0.13,   -0.69,    0.44
200702,   -1.96,    1.18,   -0.13,    0.38
200703,    0.68,    0.16,   -0.96,    0.43
200704,    3.49,   -2.15,   -1.46,    0.44
200705,    3.24,    0.24,   -0.65,    0.41
200706,   -1.96,    0.76,   -1.07,    0.40
200707,   -3.73,   -2.60,   -3.72,    0.40
200708,    0.92,   -0.13,   -1.86,    0.42
200709,    3.22,   -2.22,   -2.23,    0.32
200710,    1.80,    0.13,   -3.05,    0.32
200711,   -4.83,   -2.92,   -0.95,    0.34
200712,   -0.87,    0.12,   -0.54,    0.27
200801,   -6.36,   -1.04,    3.98,    0.21
200802,   -3.09,   -0.43,   -0.84,    0.13
200803,   -0.93,    0.71,    0.30,    0.17
200804,    4.60,   -1.65,   -1.04,    0.18
200805,    1.86,    3.00,   -1.49,    0.18
200806,   -8.44,    1.20,   -2.67,    0.17
200807,   -0.77,    2.61,    5.42,    0.15
200808,    1.53,    3.60,    1.59,    0.13
200809,   -9.24,   -1.23,    5.92,    0.15
200810,  -17.23,   -2.60,   -2.30,    0.08
200811,   -7.86,   -2.85,   -6.31,    0.03
200812,    1.74,    3.46,    0.15,    0.00
200901,   -8.12,    0.08,  -11.29,    0.00
200902,  -10.10,    0.05,   -6.95,    0.01
200903,    8.95,    0.04,    3.48,    0.02
200904,   10.18,    5.39,    5.36,    0.01
200905,    5.21,   -2.52,    0.27,    0.00
200906,    0.43,    2.63,   -2.73,    0.01
200907,    7.72,    1.87,    4.84,    0.01
200908,    3.33,   -1.08,    7.63,    0.01
200909,    4.08,    2.43,    1.04,    0.01
200910,   -2.59,   -4.34,   -4.20,    0.00
200911,    5.56,   -2.39,   -0.34,    0.00
200912,    2.75,    6.04,   -0.17,    0.01
201001,   -3.36,    0.40,    0.43,    0.00
201002,    3.40,    1.19,    3.23,    0.00
201003,    6.31,    1.48,    2.21,    0.01
201004,    2.00,    4.87,    2.89,    0.01
201005,   -7.89,    0.09,   -2.44,    0.01
201006,   -5.57,   -1.82,   -4.70,    0.01
201007,    6.93,    0.22,   -0.33,    0.01
